DATE,BAMLHE00EHYITRIV
2012/10/8,212.15
2012/10/9,212.11
2012/10/10,211.82
2012/10/11,212.02
2012/10/12,212.38
2012/10/15,212.92
2012/10/16,213.55
2012/10/17,214.62
2012/10/18,214.79
2012/10/19,214.9
2012/10/22,214.98
2012/10/23,214.79
2012/10/24,214.49
2012/10/25,214.59
2012/10/26,214.12
2012/10/29,213.92
2012/10/31,214.5
2012/11/1,214.76
2012/11/2,214.97
2012/11/5,215.16
2012/11/6,215.5
2012/11/7,215.86
2012/11/8,215.92
2012/11/9,215.63
2012/11/12,215.79
2012/11/13,215.64
2012/11/14,215.84
2012/11/15,215.69
2012/11/16,215.46
2012/11/19,215.79
2012/11/20,215.96
2012/11/21,216.25
2012/11/22,216.76
2012/11/23,217.01
2012/11/26,217.25
2012/11/27,217.51
2012/11/28,217.72
2012/11/29,218.15
2012/11/30,218.49
2012/12/3,218.97
2012/12/4,219.48
2012/12/5,220.17
2012/12/6,220.46
2012/12/7,220.58
2012/12/10,220.08
2012/12/11,220.48
2012/12/12,220.95
2012/12/13,221.49
2012/12/14,221.8
2012/12/17,222.05
2012/12/18,222.42
2012/12/19,222.8
2012/12/20,223.03
2012/12/21,223.12
2012/12/24,223.21
2012/12/26,223.29
2012/12/27,223.43
2012/12/28,223.47
2012/12/31,223.57
2013/1/2,224.42
2013/1/3,225.27
2013/1/4,225.75
2013/1/7,226.4
2013/1/8,227.15
2013/1/9,227.56
2013/1/10,227.81
2013/1/11,227.96
2013/1/14,228.02
2013/1/15,227.54
2013/1/16,227.23
2013/1/17,227.43
2013/1/18,227.58
2013/1/21,227.68
2013/1/22,227.53
2013/1/23,227.17
2013/1/24,226.37
2013/1/25,226.47
2013/1/28,226.55
2013/1/29,225.83
2013/1/30,225.03
2013/1/31,224.14
2013/2/1,223.65
2013/2/4,223.42
2013/2/5,223.11
2013/2/6,223.4
2013/2/7,223.53
2013/2/8,223.66
2013/2/11,223.82
2013/2/12,223.96
2013/2/13,224.52
2013/2/14,224.73
2013/2/15,224.83
2013/2/18,225.02
2013/2/19,225.13
2013/2/20,225.53
2013/2/21,225.39
2013/2/22,225.54
2013/2/25,225.93
2013/2/26,224.96
2013/2/27,224.91
2013/2/28,225.37
2013/3/1,225.35
2013/3/4,225.56
2013/3/5,226
2013/3/6,226.45
2013/3/7,226.77
2013/3/8,227.19
2013/3/11,227.41
2013/3/12,227.52
2013/3/13,227.47
2013/3/14,227.71
2013/3/15,227.86
2013/3/18,227.37
2013/3/19,227.46
2013/3/20,227.42
2013/3/21,227.51
2013/3/22,227.35
2013/3/25,227.58
2013/3/26,227.48
2013/3/27,227.05
2013/3/28,226.79
2013/3/31,226.89
2013/4/1,226.93
2013/4/2,227.1
2013/4/3,227.55
2013/4/4,227.8
2013/4/5,227.95
2013/4/8,228.3
2013/4/9,228.73
2013/4/10,229.32
2013/4/11,229.72
2013/4/12,229.75
2013/4/15,229.86
2013/4/16,229.81
2013/4/17,229.97
2013/4/18,229.82
2013/4/19,229.9
2013/4/22,230.27
2013/4/23,230.64
2013/4/24,231.09
2013/4/25,231.3
2013/4/26,231.49
2013/4/29,232.22
2013/4/30,232.63
2013/5/1,232.77
2013/5/2,232.85
2013/5/3,233.32
2013/5/6,233.42
2013/5/7,233.93
2013/5/8,234.22
2013/5/9,234.27
2013/5/10,234.3
2013/5/13,234.17
2013/5/14,233.76
2013/5/15,233.71
2013/5/16,233.96
2013/5/17,234.15
2013/5/20,234.39
2013/5/21,234.44
2013/5/22,234.66
2013/5/23,234.22
2013/5/24,234.05
2013/5/27,234.16
2013/5/28,234.4
2013/5/29,233.92
2013/5/30,233.52
2013/5/31,233.05
2013/6/3,232.48
2013/6/4,232.55
2013/6/5,231.85
2013/6/6,230.79
2013/6/7,230.68
2013/6/10,231.1
2013/6/11,229.79
2013/6/12,229.88
2013/6/13,229.01
2013/6/14,229.76
2013/6/17,230.32
2013/6/18,230.43
2013/6/19,230.51
2013/6/20,228.75
2013/6/21,228.33
2013/6/24,226.41
2013/6/25,226.32
2013/6/26,227.16
2013/6/27,228.15
2013/6/28,228.24
2013/6/30,228.32
2013/7/1,228.54
2013/7/2,228.84
2013/7/3,227.89
2013/7/4,228.5
2013/7/5,229.08
2013/7/8,229.79
2013/7/9,230.43
2013/7/10,230.34
2013/7/11,230.82
2013/7/12,230.76
2013/7/15,230.89
2013/7/16,231.07
2013/7/17,231.17
2013/7/18,231.46
2013/7/19,231.77
2013/7/22,232.27
2013/7/23,232.67
2013/7/24,232.74
2013/7/25,232.54
2013/7/26,232.55
2013/7/29,232.67
2013/7/30,232.81
2013/7/31,233.06
2013/8/1,233.55
2013/8/2,233.68
2013/8/5,233.89
2013/8/6,234.1
2013/8/7,234.06
2013/8/8,234.2
2013/8/9,234.33
2013/8/12,234.53
2013/8/13,234.71
2013/8/14,234.83
2013/8/15,234.71
2013/8/16,234.56
2013/8/19,234.47
2013/8/20,234.02
2013/8/21,233.88
2013/8/22,233.75
2013/8/23,233.83
2013/8/26,234
2013/8/27,233.88
2013/8/28,233.68
2013/8/29,233.91
2013/9/2,234.24
2013/9/3,234.49
2013/9/4,234.49
2013/9/5,234.53
2013/9/6,234.56
2013/9/9,234.76
2013/9/10,235.07
2013/9/11,235.27
2013/9/12,235.3
2013/9/13,235.29
2013/9/16,235.65
2013/9/17,235.77
2013/9/18,235.96
2013/9/19,236.71
2013/9/20,236.76
2013/9/23,236.86
2013/9/24,236.84
2013/9/25,236.92
2013/9/26,236.97
2013/9/27,237
2013/9/30,236.77
2013/10/1,237.03
2013/10/2,237.38
2013/10/3,237.65
2013/10/4,237.91
2013/10/7,238.25
2013/10/8,238.44
2013/10/9,238.5
2013/10/10,238.8
2013/10/11,239.12
2013/10/14,239.43
2013/10/15,239.83
2013/10/16,239.93
2013/10/17,240.25
2013/10/18,240.53
2013/10/21,240.81
2013/10/22,240.98
2013/10/23,241.06
2013/10/24,240.98
2013/10/25,240.97
2013/10/28,241.17
2013/10/29,241.42
2013/10/30,241.68
2013/10/31,241.91
2013/11/1,242.1
2013/11/4,242.39
2013/11/5,242.52
2013/11/6,242.71
2013/11/7,243.04
2013/11/8,242.95
2013/11/11,243.1
2013/11/12,243.1
2013/11/13,242.83
2013/11/14,242.93
2013/11/15,243.01
2013/11/18,243.27
2013/11/19,243.23
2013/11/20,243.31
2013/11/21,243.37
2013/11/22,243.46
2013/11/25,243.74
2013/11/26,243.82
2013/11/27,243.97
2013/11/28,244.17
2013/11/29,244.38
2013/11/30,244.45
2013/12/2,244.56
2013/12/3,244.66
2013/12/4,244.56
2013/12/5,244.45
2013/12/6,244.36
2013/12/9,244.53
2013/12/10,244.71
2013/12/11,244.81
2013/12/12,244.84
2013/12/13,244.87
2013/12/16,245.03
2013/12/17,245.13
2013/12/18,245.26
2013/12/19,245.49
2013/12/20,245.61
2013/12/23,245.76
2013/12/24,245.79
2013/12/26,245.87
2013/12/27,245.88
2013/12/30,246.03
2013/12/31,246.07
2014/1/2,246.44
2014/1/3,246.7
2014/1/6,247.26
2014/1/7,247.59
2014/1/8,247.68
2014/1/9,247.7
2014/1/10,247.7
2014/1/13,247.95
2014/1/14,247.87
2014/1/15,248.01
2014/1/16,248.29
2014/1/17,248.47
2014/1/20,248.67
2014/1/21,248.85
2014/1/22,248.9
2014/1/23,248.62
2014/1/24,247.96
2014/1/27,247.62
2014/1/28,247.79
2014/1/29,247.86
2014/1/30,247.62
2014/1/31,247.62
2014/2/3,247.69
2014/2/4,247.6
2014/2/5,247.9
2014/2/6,248.13
2014/2/7,248.55
2014/2/10,248.96
2014/2/11,249.32
2014/2/12,249.47
2014/2/13,249.51
2014/2/14,249.65
2014/2/17,249.94
2014/2/18,250.11
2014/2/19,250.35
2014/2/20,250.27
2014/2/21,250.5
2014/2/24,250.84
2014/2/25,251.15
2014/2/26,251.41
2014/2/27,251.56
2014/2/28,251.81
2014/3/3,251.8
2014/3/4,252.03
2014/3/5,252.34
2014/3/6,252.52
2014/3/7,252.66
2014/3/10,252.85
2014/3/11,252.93
2014/3/12,252.75
2014/3/13,252.73
2014/3/14,252.34
2014/3/17,252.52
2014/3/18,252.68
2014/3/19,252.81
2014/3/20,252.73
2014/3/21,252.85
2014/3/24,253.03
2014/3/25,253.03
2014/3/26,253.1
2014/3/27,253.18
2014/3/28,253.29
2014/3/31,253.49
2014/4/1,253.7
2014/4/2,253.84
2014/4/3,253.98
2014/4/4,254.3
2014/4/7,254.45
2014/4/8,254.47
2014/4/9,254.6
2014/4/10,254.85
2014/4/11,254.78
2014/4/14,254.78
2014/4/15,254.85
2014/4/16,254.82
2014/4/17,254.87
2014/4/21,255.03
2014/4/22,255.13
2014/4/23,255.29
2014/4/24,255.46
2014/4/25,255.5
2014/4/28,255.55
2014/4/29,255.74
2014/4/30,255.93
2014/5/1,256.04
2014/5/2,256.22
2014/5/5,256.36
2014/5/6,256.45
2014/5/7,256.56
2014/5/8,256.92
2014/5/9,257.15
2014/5/12,257.43
2014/5/13,257.77
2014/5/14,257.74
2014/5/15,257.36
2014/5/16,257.04
2014/5/19,257.07
2014/5/20,256.89
2014/5/21,256.66
2014/5/22,256.7
2014/5/23,256.8
2014/5/26,257.03
2014/5/27,257.49
2014/5/28,257.69
2014/5/29,257.77
2014/5/30,257.74
2014/5/31,257.81
2014/6/2,258
2014/6/3,258.02
2014/6/4,258.12
2014/6/5,258.46
2014/6/6,259.37
2014/6/9,259.93
2014/6/10,260.09
2014/6/11,259.96
2014/6/12,259.97
2014/6/13,259.84
2014/6/16,259.82
2014/6/17,259.83
2014/6/18,259.9
2014/6/19,260.3
2014/6/20,260.33
2014/6/23,260.3
2014/6/24,260.3
2014/6/25,260.16
2014/6/26,259.99
2014/6/27,259.64
2014/6/30,259.31
2014/7/1,259.27
2014/7/2,259.43
2014/7/3,259.59
2014/7/4,259.62
2014/7/7,259.76
2014/7/8,259.54
2014/7/9,259.12
2014/7/10,258.44
2014/7/11,258.57
2014/7/14,258.56
2014/7/15,258.42
2014/7/16,258.68
2014/7/17,258.66
2014/7/18,258.55
2014/7/21,258.56
2014/7/22,258.58
2014/7/23,258.83
2014/7/24,258.92
2014/7/25,258.95
2014/7/28,259.08
2014/7/29,259.1
2014/7/30,259.06
2014/7/31,258.49
2014/8/1,257.61
2014/8/4,257.61
2014/8/5,257.42
2014/8/6,256.51
2014/8/7,256.46
2014/8/8,255.58
2014/8/11,256.08
2014/8/12,256.56
2014/8/13,256.94
2014/8/14,257.35
2014/8/15,257.76
2014/8/18,258.04
2014/8/19,258.55
2014/8/20,258.72
2014/8/21,258.96
2014/8/22,259.14
2014/8/25,259.38
2014/8/26,259.85
2014/8/27,260.09
2014/8/28,259.94
2014/8/29,259.93
2014/8/31,259.99
2014/9/1,259.99
2014/9/2,260.02
2014/9/3,259.89
2014/9/4,259.89
2014/9/5,259.94
2014/9/8,260.06
2014/9/9,259.8
2014/9/10,259.66
2014/9/11,259.86
2014/9/12,259.9
2014/9/15,259.83
2014/9/16,259.53
2014/9/17,259.65
2014/9/18,259.81
2014/9/19,260.16
2014/9/22,259.81
2014/9/23,259.63
2014/9/24,259.34
2014/9/25,259.1
2014/9/26,258.52
2014/9/29,257.61
2014/9/30,257.65
2014/10/1,258.03
2014/10/2,257.75
2014/10/3,257.81
2014/10/6,258.23
2014/10/7,258.05
2014/10/8,257.68
2014/10/9,257.74
2014/10/10,257.06
2014/10/13,256.54
2014/10/14,256.35
2014/10/15,255.76
2014/10/16,254.04
2014/10/17,255.05
2014/10/20,255.28
2014/10/21,256.03
2014/10/22,256.76
2014/10/23,257.08
2014/10/24,257.45
2014/10/27,257.88
2014/10/28,257.97
2014/10/29,258.14
2014/10/30,257.79
2014/10/31,258.07
2014/11/3,258.39
2014/11/4,258.65
2014/11/5,258.82
2014/11/6,259.16
2014/11/7,259.36
2014/11/10,259.73
2014/11/11,260.16
2014/11/12,260.2
2014/11/13,260.18
2014/11/14,259.55
2014/11/17,259.7
2014/11/18,259.73
2014/11/19,259.56
2014/11/20,259.25
2014/11/21,259.62
2014/11/24,259.97
2014/11/25,260.18
2014/11/26,260.32
2014/11/27,260.46
2014/11/28,260.58
2014/11/30,260.66
2014/12/1,260.6
2014/12/2,260.69
2014/12/3,260.85
2014/12/4,261.07
2014/12/5,261.22
2014/12/8,261.41
2014/12/9,260.95
2014/12/10,260.53
2014/12/11,260.1
2014/12/12,259.69
2014/12/15,259.42
2014/12/16,258.62
2014/12/17,258.47
2014/12/18,259.04
2014/12/19,259.24
2014/12/22,259.2
2014/12/23,259.27
2014/12/24,259.31
2014/12/26,259.39
2014/12/29,259.44
2014/12/30,259.48
2014/12/31,259.54
2015/1/2,259.72
2015/1/5,259.85
2015/1/6,259.64
2015/1/7,259.55
2015/1/8,259.82
2015/1/9,260.07
2015/1/12,260.24
2015/1/13,260.32
2015/1/14,260.42
2015/1/15,260.53
2015/1/19,260.49
2015/1/20,260.79
2015/1/21,260.82
2015/1/22,261.32
2015/1/23,262.44
2015/1/26,262.39
2015/1/27,262.23
2015/1/28,262
2015/1/29,261.97
2015/1/30,262.09
2015/1/31,262.13
2015/2/2,262.05
2015/2/3,262.7
2015/2/4,262.9
2015/2/5,262.98
2015/2/6,263.36
2015/2/9,263.28
2015/2/10,263.55
2015/2/11,263.55
2015/2/12,263.87
2015/2/13,264.38
2015/2/16,264.64
2015/2/17,264.67
2015/2/18,265.03
2015/2/19,265.19
2015/2/20,265.5
2015/2/23,266.01
2015/2/24,266.51
2015/2/25,266.85
2015/2/26,267.31
2015/2/27,267.67
2015/2/28,267.74
2015/3/2,267.56
2015/3/3,267.8
2015/3/4,267.84
2015/3/5,268.27
2015/3/6,268.37
2015/3/9,268.28
2015/3/10,267.99
2015/3/11,268.03
2015/3/12,268.05
2015/3/13,267.81
2015/3/16,267.48
2015/3/17,266.67
2015/3/18,266.4
2015/3/19,266.27
2015/3/20,266.44
2015/3/23,266.49
2015/3/24,266.4
2015/3/25,266.51
2015/3/26,266.63
2015/3/27,267.08
2015/3/30,267.3
2015/3/31,267.4
2015/4/1,267.72
2015/4/2,267.82
2015/4/6,267.97
2015/4/7,268.29
